name,sum,coords(lat-long)
ΚΡΩΠΙΑΣ,10,"[[37.89863007310638, 23.88442754745484], [37.88575199135434, 23.87910604476929], [37.91682996170919, 23.892538547515876], [37.91253857965204, 23.923137187957767], [37.9386324, 23.8757681], [37.883906, 23.875885], [37.8772052, 23.8673657], [37.8834725, 23.876157], [37.892738, 23.88174], [37.893689, 23.8830821]]"
ΚΟΡΙΝΘΙΩΝ,11,"[[37.80246004886268, 23.05297493934632], [37.93124277113969, 22.872955799102783], [37.93125123349797, 22.87279486656189], [37.93125969585526, 22.872762680053714], [37.93126815821159, 22.872698307037357], [37.763243, 23.116229], [37.938517, 22.94017], [37.9385008, 22.9402002], [37.862726, 22.8419783], [37.862375, 22.839326], [37.9336096, 22.9091625]]"
ΙΣΤΙΑΙΑΣ-ΑΙΔΗΨΟΥ,6,"[[38.94338074394072, 23.148354291915897], [39.008356, 23.210606], [39.008402, 23.210637], [38.94338, 23.148354], [38.9585608, 23.1517469], [38.8602841, 23.0409661]]"
ΜΕΤΣΟΒΟΥ,1,"[[39.77926330578497, 21.1767590045929]]"
ΔΩΔΩΝΗΣ,3,"[[39.54429397301993, 20.8771562576294], [39.545458, 20.851328], [39.54612, 20.8518]]"
ΙΛΙΟΥ,6,"[[38.03350682916691, 23.70287418365479], [38.0428356686108, 23.72482538223267], [38.031637, 23.71032], [38.041159403882, 23.726324462593], [38.0301134, 23.7061984], [38.0452089, 23.7241184]]"
ΜΕΤΑΜΟΡΦΩΣΕΩΣ,9,"[[38.06518117867919, 23.75529527664185], [38.058000945815216, 23.754994869232178], [38.055586, 23.753224], [38.071305126374, 23.764125947078], [38.057622, 23.747548], [38.0724584, 23.7670713], [38.053166, 23.747778], [38.05175, 23.75136], [38.0529527, 23.7526843]]"
ΕΡΜΙΟΝΙΔΑΣ,4,"[[37.349392193209006, 23.24950575828552], [37.304969095195936, 23.145092725753788], [37.3612186, 23.1623857], [37.4145848, 23.3558337]]"
ΖΙΤΣΑΣ,1,"[[39.69639796353627, 20.81618428230286]]"
ΑΡΧΑΝΩΝ-ΑΣΤΕΡΟΥΣΙΩΝ,3,"[[35.008170708624554, 25.154474973678592], [35.184361417093, 25.208536896927], [35.184361, 25.208537]]"
ΚΕΝΤΡΙΚΗΣ ΚΕΡΚΥΡΑΣ ΚΑΙ ΔΙΑΠΟΝΤΙΩΝ ΝΗΣΩΝ,11,"[[39.62443299932748, 19.898375272750854], [39.47731369263924, 19.933898448944092], [39.60776292108941, 19.91455435752869], [39.612631296466986, 19.7790277004242], [39.796867349891, 19.817766955124], [39.421995, 20.044768], [39.541474194508, 19.912629263258], [39.421973, 20.04477], [39.658369, 19.83843], [39.6306897, 19.8848962], [39.658386, 19.838464]]"
ΔΥΤΙΚΗΣ ΛΕΣΒΟΥ,8,"[[39.36936569410589, 26.194163560867317], [39.376033889733286, 26.18625640869141], [39.33647155990038, 26.18443250656128], [39.10630375478445, 26.5595018863678], [39.23082134710504, 26.2137582959758], [39.106738, 26.557275], [39.1093505, 26.5058725], [39.109351, 26.505873]]"
ΚΟΜΟΤΗΝΗΣ,5,"[[41.11080360351512, 25.413554906845093], [41.109971, 25.365012], [41.1141415, 25.3784755], [41.1081127, 25.4160952], [41.1138593, 25.410246]]"
ΟΡΕΣΤΙΑΔΑΣ,5,"[[40.46263781803914, 21.25919938087464], [40.466354, 21.301565], [41.502998, 26.535592], [40.4664, 21.301697], [41.5041654, 26.5356526]]"
ΚΩ,11,"[[36.76002311931168, 27.10788488388062], [36.759455820966, 27.112498283386238], [36.8888628341856, 27.182117700576782], [36.876811, 27.20707], [36.88096, 27.344436], [36.73624, 26.972411], [36.79791113264601, 27.096495553851128], [36.89583719085944, 27.280857229222104], [36.88536, 27.2512674], [36.88536, 27.251267], [36.895847, 27.280714]]"
ΚΑΛΑΜΑΤΑΣ,13,"[[37.00745349129033, 22.158898115158085], [37.09883179848621, 22.228560447692875], [37.0249741, 22.1166142], [37.055993, 22.067792], [37.033866083912, 22.103073991959], [37.033728, 22.099238], [37.178519, 22.012285], [37.033449, 22.103852], [37.0351353, 22.1140391], [37.1785778, 22.0122457], [37.0216709, 22.1395575], [37.0366386, 22.1143716], [37.08344930000001, 22.0486318]]"
ΠΑΠΑΓΟΥ-ΧΟΛΑΡΓΟΥ,2,"[[38.00730536573998, 23.80215883255005], [38.007912, 23.803869]]"
ΧΕΡΣΟΝΗΣΟΥ,7,"[[35.33385779907284, 25.34863471984864], [35.3257350326489, 25.364331007003788], [35.311238068257786, 25.25042295455933], [35.28878715881986, 25.445730686187748], [35.3289854, 25.2045105], [35.300052549317, 25.352174753465], [35.322209, 25.388557]]"
ΚΥΜΗΣ-ΑΛΙΒΕΡΙΟΥ,3,"[[38.51466971516111, 24.109411239624027], [38.513742, 24.108544], [38.408018, 24.03114]]"
ΧΑΝΙΩΝ,17,"[[35.51060534385504, 23.974174261093143], [35.51497190440016, 24.029234647750854], [35.51442173084776, 24.015287160873417], [35.51676212557858, 23.93328666687012], [35.5110899, 24.02117], [35.51363449999999, 24.0477058], [35.5315822, 24.0813748], [35.503967155083, 24.007051469681], [35.50807275534, 23.982113402378], [35.46675, 24.15504], [35.480028, 24.064982], [35.47999, 24.065], [35.517505, 24.036336], [35.4926819, 24.0038019], [35.5089279, 24.0455129], [35.5067767, 23.9839017], [35.50138, 23.99869]]"
ΑΡΙΣΤΟΤΕΛΗ,4,"[[40.3462006903525, 23.96688938140869], [40.36636202323693, 23.92977833747864], [40.488714, 23.614272], [40.4875808, 23.5927461]]"
ΜΕΓΑΡΕΩΝ,4,"[[38.01235198880189, 23.43443870544434], [37.975529870054814, 23.28437447547913], [37.995961, 23.36584], [37.995158, 23.366355]]"
ΚΑΣΤΟΡΙΑΣ,1,"[[40.538207392260006, 21.25917792320252]]"
ΤΡΙΠΟΛΗΣ,6,"[[37.49675448683776, 22.398333549499515], [37.580817, 22.432281], [37.5017814, 22.3661606], [37.5080788, 22.3867551], [37.57934, 22.432205], [37.4993905, 22.3775189]]"
ΠΑΥΛΟΥ ΜΕΛΑ,7,"[[40.67744039724759, 22.954870462417603], [40.679392, 22.9385897], [40.6691627, 22.9660185], [40.6707724, 22.9383527], [40.670825, 22.938326], [40.65791309999999, 22.9320148], [40.6940765, 22.9409509]]"
ΚΥΘΗΡΩΝ,1,"[[36.19859878085166, 22.979117631912235]]"
ΛΗΜΝΟΥ,2,"[[39.91259185300416, 25.20216464996338], [39.912496, 25.201826]]"
ΚΗΦΙΣΙΑΣ,15,"[[38.07307862102036, 23.81114959716797], [38.087064627641, 23.804120052836], [38.0748128, 23.7953577], [38.0876433, 23.809661], [38.0908383, 23.8090534], [38.0908456, 23.8090741], [38.090838, 23.809053], [38.113017, 23.8239], [38.077454, 23.812966], [38.0743021, 23.82111], [38.07391399999999, 23.8202461], [38.1082351, 23.8202349], [38.0885256, 23.8132277], [38.0742513, 23.8085967], [38.0917279, 23.7968201]]"
ΘΕΡΜΑΪΚΟΥ,3,"[[40.38243934804513, 22.927114963531498], [40.4289764, 22.9304174], [40.5086346, 22.9235902]]"
ΔΩΡΙΔΟΣ,1,"[[38.400570174951845, 21.924494504928592]]"
ΛΕΥΚΑΔΑΣ,4,"[[38.62821992283254, 20.60866713523865], [38.7088916, 20.7126621], [38.8232141, 20.7020153], [38.8267516, 20.6849502]]"
ΣΙΘΩΝΙΑΣ,8,"[[40.14436254796919, 23.739953041076664], [40.30613812265031, 23.69411945343018], [40.149357, 23.731985], [40.217986, 23.671221], [40.163105, 23.726908], [40.074668562443, 23.796896339367], [40.23393, 23.731331], [40.0907129, 23.7992064]]"
ΕΟΡΔΑΙΑΣ,2,"[[40.53501924993918, 21.688213348388672], [40.5129968, 21.6784663]]"
ΠΑΡΟΥ,6,"[[37.12362673446994, 25.24965047836304], [37.006376, 25.131108], [37.088377, 25.156456], [37.0063596, 25.1311168], [37.0643419, 25.1220984], [37.064342, 25.122098]]"
ΗΓΟΥΜΕΝΙΤΣΑΣ,2,"[[39.40261740122317, 20.23896217346192], [39.4530556, 20.2767293]]"
ΕΠΙΔΑΥΡΟΥ,1,"[[37.678606816864566, 23.14904093742371]]"
ΧΙΟΥ,4,"[[38.188123932024425, 26.02773785591126], [38.32113776085005, 26.15346908569336], [38.188022, 26.027614], [38.366847, 26.142792]]"
ΓΡΕΒΕΝΩΝ,2,"[[40.07963118810148, 21.42359733581543], [40.089245, 21.442111]]"
ΝΑΥΠΑΚΤΙΑΣ,4,"[[38.64800593056391, 21.91933393478394], [38.390044, 21.818149], [38.3338165, 21.765929], [38.3452782, 21.5939774]]"
ΚΟΡΔΕΛΙΟΥ-ΕΥΟΣΜΟΥ,4,"[[40.68799280097536, 22.922211885452278], [40.6599476, 22.9004567], [40.67398, 22.87948], [40.660006, 22.90046]]"
ΤΗΝΟΥ,3,"[[37.537499432247294, 25.218601226806644], [37.535672638266, 25.167751317199], [37.604757, 25.142979]]"
ΘΑΣΟΥ,2,"[[40.72114429824649, 24.750384092330936], [40.774576, 24.700032]]"
ΠΑΡΓΑΣ,1,"[[39.218971811721175, 20.515894889831547]]"
ΣΚΥΡΟΥ,2,"[[38.90798271944692, 24.569753408432007], [38.8548138, 24.5369364]]"
ΜΥΛΟΠΟΤΑΜΟΥ,1,"[[35.418336876947215, 24.6928346157074]]"
ΚΑΡΔΙΤΣΑΣ,4,"[[39.369349105760506, 21.925202608108524], [39.3657508, 21.9221588], [39.36683996940815, 21.962291264430483], [39.373685, 21.915191]]"
ΖΑΚΥΝΘΟΥ,1,"[[37.76411637898435, 20.883657932281498]]"
ΧΑΛΚΙΔΕΩΝ,7,"[[38.46719847377679, 23.556307554245], [38.462128, 23.591183], [38.504414, 23.634649], [38.446245, 23.623577], [38.4688792, 23.6037952], [38.5197542, 23.6374773], [38.468879, 23.603795]]"
ΤΑΝΑΓΡΑΣ,6,"[[38.3442395211406, 23.594169616699222], [38.3105862, 23.6339191], [38.3491034, 23.5847742], [38.3509429, 23.5839226], [38.36657, 23.53783], [38.3677, 23.53695]]"
ΙΕΡΑΠΕΤΡΑΣ,2,"[[35.010095185789154, 25.751202106475837], [35.038448, 25.989884]]"
ΚΙΛΕΛΕΡ,3,"[[39.58821985149895, 22.469272613525398], [39.548943442999, 22.497339248657], [39.549927899344, 22.496427297592]]"
ΔΙΔΥΜΟΤΕΙΧΟΥ,2,"[[41.358152442479856, 26.507767438888557], [41.357963, 26.507525]]"
ΚΙΛΚΙΣ,9,"[[40.98956831211467, 22.86030650138855], [40.993935, 22.8729916], [40.998097, 22.862209], [40.993853, 22.873027], [40.9978128, 22.8565669], [40.998156, 22.86225], [41.0499158, 22.7891441], [40.9957012, 22.884349], [40.9954015, 22.8698903]]"
ΠΡΕΣΠΩΝ,1,"[[40.81466994350047, 21.131783723831177]]"
ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,2,"[[39.28154162162039, 21.7374050617218], [39.31259013108746, 21.70573252329696]]"
ΒΟΛΟΥ,8,"[[39.39198852851281, 23.00354719161988], [39.3531679, 22.9570873], [39.361017, 22.9348772], [39.3694331, 22.9185867], [39.3632727, 22.9300497], [39.36786, 22.92157], [39.3665491, 22.9506411], [39.3606601, 22.9330626]]"
ΑΜΠΕΛΟΚΗΠΩΝ-ΜΕΝΕΜΕΝΗΣ,4,"[[40.65618407183144, 22.8935444355011], [40.653430454402, 22.907971113379], [40.6507152, 22.8885668], [40.6612884, 22.8648534]]"
ΞΗΡΟΜΕΡΟΥ,4,"[[38.536576715735045, 21.074759960174564], [38.53599181387468, 21.085442253635637], [38.746501, 21.204857], [38.7467039, 21.204644]]"
ΧΑΛΚΗΔΟΝΟΣ,1,"[[40.70790519856075, 22.780044078826904]]"
ΠΕΙΡΑΙΑ,11,"[[37.94472207265774, 23.64962697029114], [37.9388334, 23.6394509], [37.957127, 23.662798], [37.931530490775, 23.646923303604], [37.9542761, 23.6442856], [37.950124, 23.6591248], [37.9541229, 23.6352543], [37.954678, 23.6434097], [37.94403, 23.66162], [37.9505219, 23.6389232], [37.947425, 23.6602755]]"
ΝΕΑΣ ΣΜΥΡΝΗΣ,6,"[[37.9478543, 23.7138746], [37.9483308, 23.7066416], [37.953108, 23.712698], [37.9506416, 23.7200321], [37.9534744, 23.7130507], [37.9432927, 23.7006142]]"
ΣΠΑΤΩΝ-ΑΡΤΕΜΙΔΟΣ,5,"[[37.9356467, 23.9484156], [37.965443, 24.0058513], [37.9677816, 23.9063184], [37.9676711, 23.9249009], [37.96464080000001, 23.9070776]]"
ΝΕΑΣ ΦΙΛΑΔΕΛΦΕΙΑΣ-ΝΕΑΣ ΧΑΛΚΗΔΟΝΑΣ,1,"[[38.0389408, 23.7345548]]"
ΝΕΑΠΟΛΗΣ-ΣΥΚΕΩΝ,5,"[[40.6496149, 22.9514465], [40.6596085, 22.9716204], [40.6591514, 22.9710726], [40.659609, 22.97162], [40.6595967, 22.9755239]]"
ΖΑΓΟΡΙΟΥ,2,"[[39.9339539, 20.6720747], [39.8824329, 20.7478029]]"
ΗΛΙΔΑΣ,1,"[[37.7682973, 21.2967264]]"
ΡΕΘΥΜΝΗΣ,8,"[[35.3665459, 24.483403], [35.3652871, 24.4774702], [35.365719838335, 24.496480267282], [35.3652321, 24.4395693], [35.3720998, 24.5413992], [35.36868, 24.5323616], [35.3886179, 24.6151998], [35.36555450000001, 24.4919838]]"
ΠΗΝΕΙΟΥ,1,"[[37.84751, 21.10872]]"
ΛΕΡΟΥ,1,"[[37.13137, 26.85265]]"
ΔΕΛΤΑ,6,"[[40.676658, 22.859413], [40.605324, 22.680709], [40.7050161, 22.8110686], [40.6562322, 22.8702815], [40.6053158, 22.6807241], [40.68966229999999, 22.7801044]]"
ΣΑΡΩΝΙΚΟΥ,5,"[[37.854593, 23.920798], [37.787844, 23.914357], [37.732956, 23.948389], [37.732965, 23.948371], [37.7363244, 23.9060374]]"
ΒΑΡΗΣ-ΒΟΥΛΑΣ-ΒΟΥΛΙΑΓΜΕΝΗΣ,6,"[[37.850045, 23.7518168], [37.808891, 23.782318], [37.8334159, 23.7993236], [37.8346558, 23.8054611], [37.8329163, 23.7792964], [37.8421701, 23.7711618]]"
ΠΥΡΓΟΥ,5,"[[37.680009, 21.438945], [37.671936, 21.428337], [37.672047, 21.428428], [37.6718487, 21.4432257], [37.6735744, 21.436771]]"
ΔΙΟΝΥΣΟΥ,5,"[[38.1389, 23.854017], [38.132946, 23.8587896], [38.1187818, 23.8569726], [38.1340005, 23.8591476], [38.1397641, 23.8476448]]"
ΠΑΓΓΑΙΟΥ,3,"[[40.841562, 24.305483], [40.913549, 24.252012], [40.88714414235451, 24.201148822903637]]"
ΒΥΡΩΝΟΣ,1,"[[37.951606, 23.776306]]"
ΚΑΡΥΣΤΟΥ,2,"[[38.012599, 24.424127], [38.018847, 24.411827]]"
ΓΟΡΤΥΝΙΑΣ,2,"[[37.636108, 22.086357], [37.681559, 22.029463]]"
ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ,6,"[[35.29391448843, 25.726017496931], [35.205164, 25.695213], [35.185061, 25.706174], [35.205036, 25.695202], [35.2613505, 25.7234164], [35.1850469, 25.7066235]]"
ΜΑΛΕΒΙΖΙΟΥ,3,"[[35.336543392925, 25.078262657673], [35.335744, 25.08419], [35.4072951, 25.0181002]]"
ΑΛΜΥΡΟΥ,2,"[[39.062671714194, 22.888076777225], [39.064183673775, 22.88866681964]]"
ΒΟΛΒΗΣ,2,"[[40.72321, 23.710024], [40.6636209, 23.705525]]"
ΟΡΧΟΜΕΝΟΥ,3,"[[38.488373, 22.981377], [38.48855541615839, 23.157214045924373], [38.4937481, 23.1602932]]"
ΜΥΚΟΝΟΥ,1,"[[37.416471, 25.315403]]"
ΛΕΒΑΔΕΩΝ,5,"[[38.4414, 22.871759], [38.45864318889737, 22.897744894027703], [38.4434157, 22.8760775], [38.4584805, 22.8944756], [38.443395, 22.875858]]"
ΕΡΕΤΡΙΑΣ,1,"[[38.391197, 23.788694]]"
ΛΑΥΡΕΩΤΙΚΗΣ,3,"[[37.716915, 24.055685], [37.716987, 24.055552], [37.7864129, 24.0575456]]"
ΡΑΦΗΝΑΣ-ΠΙΚΕΡΜΙΟΥ,3,"[[38.019049, 24.001052], [38.0007359, 23.9379002], [38.0004036, 23.9363706]]"
ΛΥΚΟΒΡΥΣΗΣ-ΠΕΥΚΗΣ,2,"[[38.067398, 23.779843], [38.067404, 23.779857]]"
ΠΑΙΑΝΙΑΣ,2,"[[37.940441, 23.873613], [38.0097716, 23.8469941]]"
ΛΟΥΤΡΑΚΙΟΥ-ΑΓΙΩΝ ΘΕΟΔΩΡΩΝ,4,"[[37.924721, 22.986451], [37.924715, 22.986388], [37.924399, 23.13293], [37.9246105, 23.1331768]]"
ΝΑΥΠΛΙΕΩΝ,2,"[[37.570775, 22.81692], [37.57275, 22.80719]]"
ΑΓΡΙΝΙΟΥ,3,"[[38.6295, 21.418496], [38.6141837, 21.4176676], [38.5712584, 21.4225785]]"
ΑΣΤΥΠΑΛΑΙΑΣ,1,"[[36.549002, 26.352284]]"
ΘΗΡΑΣ,5,"[[36.35818074854391, 25.43913305249101], [36.3582621, 25.439016], [36.4618199, 25.3753101], [36.4166485, 25.432447], [36.383038, 25.4478176]]"
ΠΑΤΜΟΥ,1,"[[37.303727, 26.561286]]"
ΙΚΑΡΙΑΣ,1,"[[37.62783184075719, 26.18731487542391]]"
ΤΡΙΚΚΑΙΩΝ,6,"[[39.544633, 21.775802], [39.5477234, 21.7726669], [39.5462042, 21.7741396], [39.515849, 21.8206474], [39.54459, 21.77604], [39.5860708, 21.7558149]]"
ΦΟΛΕΓΑΝΔΡΟΥ,1,"[[36.627722, 24.922721]]"
ΑΜΦΙΠΟΛΗΣ,1,"[[40.793006783713366, 23.83425782161025]]"
ΣΕΡΡΩΝ,7,"[[41.08933702760852, 23.598363650619536], [41.099957, 23.486747], [41.0942153, 23.470337], [41.0648121, 23.5396245], [41.1032427, 23.5481812], [41.0899235, 23.5537382], [41.0882258, 23.547983]]"
ΑΝΔΡΑΒΙΔΑΣ-ΚΥΛΛΗΝΗΣ,2,"[[38.04585496966145, 21.385103352818152], [38.04591, 21.385137]]"
ΑΚΤΙΟΥ-ΒΟΝΙΤΣΑΣ,2,"[[38.86401814294401, 20.79187381231929], [38.7834023, 20.8827176]]"
ΕΛΑΣΣΟΝΑΣ,1,"[[39.894712278192046, 22.1884891274063]]"
ΤΗΛΟΥ,1,"[[36.414693, 27.386511]]"
ΠΑΡΑΝΕΣΤΙΟΥ,1,"[[41.267057, 24.500818]]"
ΣΦΑΚΙΩΝ,2,"[[35.183716, 24.24378], [35.1817316, 24.2315394]]"
ΣΕΡΙΦΟΥ,1,"[[37.13913, 24.51296]]"
ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,1,"[[37.426592, 24.927113]]"
ΔΥΤΙΚΗΣ ΣΑΜΟΥ,2,"[[37.737408, 26.985012], [37.7373649, 26.9852644]]"
ΖΑΧΑΡΩΣ,1,"[[37.482029, 21.649642]]"
ΘΗΒΑΙΩΝ,2,"[[38.347128, 23.322295], [38.3244583, 23.3233414]]"
ΑΙΓΙΝΑΣ,1,"[[37.71710485927498, 23.460282795131207]]"
ΦΑΡΣΑΛΩΝ,1,"[[39.30415851045157, 22.38539055553443]]"
ΔΟΜΟΚΟΥ,1,"[[39.121773060431984, 22.31165925944956]]"
ΑΜΦΙΚΛΕΙΑΣ-ΕΛΑΤΕΙΑΣ,1,"[[38.626301, 22.767297]]"
ΦΛΩΡΙΝΑΣ,1,"[[40.793077, 21.436288]]"
ΝΟΤΙΑΣ ΚΥΝΟΥΡΙΑΣ,1,"[[37.244506, 22.867043]]"
ΑΓΙΟΥ ΒΑΣΙΛΕΙΟΥ,1,"[[35.18288, 24.401088]]"
ΑΛΜΩΠΙΑΣ,1,"[[40.960547, 22.071418]]"
ΕΥΡΩΤΑ,1,"[[36.85466443280013, 22.679570205509663]]"
ΑΡΧΑΙΑΣ ΟΛΥΜΠΙΑΣ,2,"[[37.661485, 21.588373], [37.6615628, 21.5884686]]"
ΣΠΑΡΤΗΣ,8,"[[37.092777, 22.431867], [37.0700069, 22.3914252], [37.0927267, 22.431816], [37.198201, 22.341581], [37.1965104, 22.3426732], [37.070007, 22.391425], [37.0798463, 22.3565889], [37.0786733, 22.4234121]]"
ΚΟΝΙΤΣΑΣ,1,"[[40.044811, 20.74989]]"
ΠΥΛΟΥ-ΝΕΣΤΟΡΟΣ,1,"[[36.802795, 21.781853]]"
ΣΚΟΠΕΛΟΥ,1,"[[39.16647, 23.618278]]"
ΛΑΓΚΑΔΑ,2,"[[40.631011, 23.212374], [40.7174599, 23.044765]]"
ΑΜΦΙΛΟΧΙΑΣ,2,"[[38.863529, 21.183971], [38.8639531, 21.1883201]]"
ΑΡΓΟΥΣ-ΜΥΚΗΝΩΝ,2,"[[37.65654487924464, 22.72712202557993], [37.6585405, 22.7259856]]"
ΦΑΙΣΤΟΥ,1,"[[35.069167, 24.77425]]"
ΚΑΛΑΒΡΥΤΩΝ,1,"[[38.0307635, 22.1112101]]"
ΜΑΝΔΡΑΣ-ΕΙΔΥΛΛΙΑΣ,3,"[[38.0815623, 23.4921648], [38.05466, 23.5212491], [38.0739646, 23.5134662]]"
ΕΛΕΥΣΙΝΑΣ,2,"[[38.0405154, 23.5475362], [38.0697761, 23.531682]]"
ΞΥΛΟΚΑΣΤΡΟΥ-ΕΥΡΩΣΤΙΝΗΣ,2,"[[38.0794092, 22.6167457], [37.99713260000001, 22.4811378]]"
ΒΕΛΟΥ-ΒΟΧΑΣ,3,"[[37.9462974, 22.8169666], [37.974655, 22.741692], [37.973965, 22.741206]]"
ΗΛΙΟΥΠΟΛΗΣ,3,"[[37.9441167, 23.7485042], [37.943685, 23.748201], [37.9357421, 23.7436987]]"
ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,4,"[[37.9445843, 23.7404721], [37.9403634, 23.7403553], [37.944584, 23.740472], [37.9294902, 23.7370614]]"
ΑΣΠΡΟΠΥΡΓΟΥ,5,"[[38.0644102, 23.6357088], [38.09237, 23.60593], [38.0934, 23.60429], [38.035039, 23.594554], [38.0431833, 23.5842894]]"
ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,2,"[[37.9960294, 23.6611259], [37.9977482, 23.6656571]]"
ΑΡΤΑΙΩΝ,7,"[[39.2205726, 20.9094726], [39.1547695, 20.9803054], [39.2209588, 20.9086657], [39.2206749, 20.909417], [39.156414, 20.957211], [39.1559289, 20.9973603], [39.1582421, 20.9876839]]"
ΣΟΦΑΔΩΝ,2,"[[39.2933488, 22.0795138], [39.2922704, 22.0808542]]"
ΚΑΛΑΜΑΡΙΑΣ,3,"[[40.5749009, 22.9704614], [40.58919, 22.94468], [40.5724822, 22.9601965]]"
ΙΕΡΑΣ ΠΟΛΕΩΣ ΜΕΣΟΛΟΓΓΙΟΥ,5,"[[38.386922, 21.543861], [38.386585, 21.544869], [38.3657961, 21.4311561], [38.3727832, 21.4299875], [38.3739342, 21.4353503]]"
ΔΙΟΥ-ΟΛΥΜΠΟΥ,3,"[[40.026341, 22.573136], [40.028067, 22.573245], [39.9901304, 22.6238625]]"
ΑΛΕΞΑΝΔΡΕΙΑΣ,2,"[[40.555456741781, 22.54180844], [40.55529524, 22.54356713]]"
ΛΟΚΡΩΝ,2,"[[38.6583055, 23.072427], [38.6609351, 23.0719626]]"
ΝΙΚΟΛΑΟΥ ΣΚΟΥΦΑ,1,"[[39.1447955, 21.0193135]]"
ΤΕΜΠΩΝ,2,"[[39.81474, 22.50856], [39.8146, 22.50722]]"
ΔΥΤΙΚΗΣ ΑΧΑΪΑΣ,1,"[[38.1442587, 21.5934462]]"
ΖΗΡΟΥ,1,"[[39.2055676, 20.880797]]"
ΒΙΣΑΛΤΙΑΣ,1,"[[40.9115274, 23.5012852]]"
ΑΝΑΤΟΛΙΚΗΣ ΜΑΝΗΣ,2,"[[36.7393485, 22.5680911], [36.6519973, 22.4325637]]"
ΣΕΡΒΙΩΝ,1,"[[40.2404048, 21.9674213]]"
ΑΜΥΝΤΑΙΟΥ,1,"[[40.6926731, 21.6802378]]"
ΚΟΡΥΔΑΛΛΟΥ,1,"[[37.9774223, 23.6495472]]"
ΣΚΥΔΡΑΣ,1,"[[40.7673908, 22.1539417]]"
